A=3251 B=7818 C=8817 X=588799155 Y=4369062587 Z=81981453089 M=1973
A=5002 B=3966 C=5527 X=358808103 Y=4661060023 Z=31196358146 M=5710
A=6871 B=6409 C=6046 X=534498099 Y=3109106433 Z=97468202479 M=3899
A=3720 B=4876 C=6516 X=865809921 Y=3368972825 Z=26447192121 M=4346
A=4410 B=3477 C=6006 X=583321738 Y=8623176002 Z=65928715352 M=7715
A=2644 B=9568 C=7561 X=560848209 Y=9549711425 Z=70712276495 M=5406
A=2036 B=6681 C=8021 X=580164788 Y=8527619508 Z=50978374816 M=9309
A=8856 B=5095 C=7818 X=107498593 Y=3433307797 Z=95059032869 M=1070
A=2138 B=6410 C=7887 X=158894584 Y=8689684377 Z=49299350420 M=4883
A=2651 B=7870 C=8287 X=668864091 Y=7394205006 Z=66378616248 M=2730
A=2000 B=7813 C=7153 X=246744079 Y=8544352228 Z=98951445653 M=3345
A=6811 B=9392 C=6375 X=622338770 Y=8146096272 Z=67377399548 M=7487
A=6917 B=4535 C=9484 X=543309771 Y=7951901817 Z=26258861442 M=7658
A=3730 B=9209 C=8384 X=699361893 Y=6312288672 Z=18278484186 M=3235
A=7934 B=6314 C=8662 X=777154719 Y=9876094069 Z=34714662878 M=8572
A=7743 B=9799 C=9506 X=635466798 Y=9431215074 Z=15971181960 M=2841
A=9065 B=3719 C=5287 X=499228484 Y=8519048341 Z=88259679352 M=2647
A=6624 B=7096 C=5106 X=727360751 Y=8905722974 Z=85205966040 M=2148
A=8503 B=9930 C=5656 X=752756411 Y=7104747152 Z=73007167899 M=7779
A=7555 B=4451 C=9773 X=621432711 Y=9486428337 Z=87192707929 M=9779
A=8202 B=3964 C=8017 X=710848198 Y=2013123530 Z=72226243270 M=6886
A=6953 B=9020 C=8148 X=682335247 Y=1073822676 Z=60448103104 M=8062
A=4333 B=8075 C=8044 X=242563302 Y=1605161023 Z=45050853805 M=6406
A=7639 B=4467 C=6790 X=842125213 Y=3481502321 Z=19406876157 M=6298
A=8486 B=8150 C=6274 X=459564071 Y=5380067087 Z=90961021459 M=7070
A=4086 B=7916 C=9159 X=306677262 Y=2674151203 Z=97477717776 M=8429
A=9623 B=5582 C=7612 X=221675399 Y=4179790435 Z=61198171342 M=6254
A=9226 B=8624 C=9571 X=598467894 Y=7013567057 Z=17385223411 M=6133
A=7974 B=8243 C=5911 X=354476664 Y=7922555344 Z=84829219102 M=2565
A=6232 B=6649 C=8301 X=684591580 Y=4095829725 Z=58984609147 M=7589
A=6870 B=6694 C=5062 X=537154422 Y=7747745852 Z=61973635185 M=1703
A=2467 B=7481 C=9600 X=439341165 Y=2077887580 Z=44733433924 M=8681
A=4652 B=6301 C=6265 X=644235272 Y=9965132457 Z=95742915794 M=5756
A=7530 B=7076 C=7731 X=979236485 Y=6941334885 Z=93036154465 M=9068
A=3956 B=6076 C=7407 X=599332268 Y=4905940343 Z=58501105872 M=6349
A=6851 B=7139 C=9615 X=915200869 Y=8185132860 Z=61654088505 M=9257
A=6645 B=3743 C=9408 X=921231654 Y=1135378179 Z=62252885526 M=6169
A=2382 B=9132 C=9433 X=860663976 Y=2367483452 Z=81061361790 M=4598
A=5143 B=6580 C=9661 X=554115517 Y=8189447153 Z=18647060848 M=2916
A=5019 B=7837 C=8187 X=618022929 Y=8589500611 Z=72598405067 M=5805
A=3295 B=6633 C=5468 X=854954036 Y=6110970195 Z=90689638969 M=3938
A=4214 B=4171 C=5368 X=596723129 Y=7463472862 Z=26856386024 M=4835
A=7860 B=7998 C=5884 X=770282318 Y=4939341082 Z=94359122670 M=4859
A=3475 B=9329 C=5047 X=193732535 Y=3143890728 Z=87390854525 M=1404
A=3086 B=5064 C=7102 X=602119886 Y=8066629349 Z=88747219625 M=5994
A=7805 B=8229 C=5437 X=895182928 Y=6300295765 Z=10491086368 M=9064
A=2830 B=3022 C=6298 X=559202183 Y=3370050405 Z=48747970182 M=7652
A=5451 B=5034 C=7197 X=147864527 Y=2270276536 Z=16490944361 M=4346
A=7512 B=4316 C=6736 X=540168793 Y=3542461107 Z=37737202825 M=7221
A=8548 B=3710 C=7211 X=298031977 Y=1959434457 Z=44978467002 M=6067
A=8260 B=4046 C=5758 X=647255139 Y=2398370026 Z=71686437746 M=7788
A=9576 B=3617 C=5074 X=243232481 Y=5313211543 Z=10047149385 M=6668
A=5589 B=6349 C=7636 X=498606339 Y=1176563063 Z=51587445763 M=7484
A=3764 B=9884 C=8109 X=586947716 Y=5741108395 Z=39778412597 M=5215
A=6438 B=9343 C=9088 X=375133741 Y=1129596123 Z=41499111158 M=9587
A=8234 B=9581 C=7521 X=243223444 Y=1691610869 Z=11966095260 M=6050
A=5724 B=9339 C=5533 X=886003666 Y=9269350839 Z=20471544104 M=3456
A=2413 B=9282 C=8087 X=561358477 Y=5407438917 Z=69318730561 M=6361
A=3740 B=7613 C=6527 X=438264593 Y=7475302622 Z=26146891924 M=1876
A=7898 B=7831 C=5934 X=464049299 Y=2478511807 Z=90739769032 M=7354
A=5793 B=7124 C=9697 X=570195872 Y=6291928290 Z=78140638508 M=4271
A=2451 B=7593 C=6531 X=900828026 Y=3336286856 Z=39607066261 M=2391
A=9310 B=5319 C=7323 X=268520090 Y=1111666792 Z=12509467594 M=8843
A=9546 B=7088 C=5366 X=754840521 Y=6207828197 Z=43375799653 M=9600
A=9122 B=6617 C=7919 X=952741935 Y=9585324135 Z=15204721779 M=2419
A=2752 B=7051 C=8690 X=722026753 Y=6350168047 Z=53490539251 M=2476
A=3060 B=3294 C=9822 X=635031135 Y=7133568178 Z=73026104296 M=4961
A=7889 B=8606 C=8797 X=744577723 Y=6093714517 Z=57647816617 M=7964
A=8079 B=9852 C=7312 X=147318108 Y=3385625350 Z=65653384778 M=5886
A=4534 B=7166 C=5109 X=246450234 Y=4586316084 Z=23116204871 M=3095
A=2839 B=7560 C=8653 X=601822776 Y=9614181549 Z=88828903196 M=5532
A=5950 B=9096 C=6436 X=827371517 Y=7272020713 Z=72093506083 M=9330
A=6737 B=8867 C=9778 X=500847418 Y=2564272336 Z=92140208707 M=5662
A=7436 B=3586 C=5385 X=993479151 Y=1308663931 Z=71194591285 M=8402
A=5479 B=4899 C=7761 X=770106170 Y=6415492534 Z=95484191588 M=6662
A=5915 B=6651 C=6318 X=660391864 Y=5722478605 Z=20847474585 M=7414
A=9093 B=8833 C=6387 X=576586667 Y=9659481077 Z=64975181043 M=1185
A=9622 B=8440 C=5268 X=495493395 Y=2366715024 Z=85538370808 M=7932
A=9468 B=9328 C=8885 X=376538638 Y=5930154477 Z=96431947570 M=4603
A=4082 B=9448 C=8649 X=266393899 Y=5704070485 Z=39658349734 M=8554
A=4833 B=9928 C=5432 X=678818937 Y=9274695720 Z=27171347393 M=3727
A=7243 B=3040 C=9304 X=732449351 Y=9874450508 Z=74322215352 M=2265
A=2284 B=7390 C=5063 X=387741095 Y=9590084624 Z=53493689211 M=7988
A=8799 B=9023 C=9032 X=846497909 Y=9466556436 Z=50398957003 M=6202
A=8177 B=5630 C=7266 X=476622315 Y=2677617649 Z=62350899999 M=1186
A=5903 B=9415 C=5125 X=868107596 Y=5083078969 Z=92347643825 M=3696
A=5627 B=6120 C=7016 X=304145519 Y=8374888979 Z=26364749821 M=3209
A=2459 B=5737 C=5212 X=236618210 Y=1199262385 Z=13390602755 M=4803
A=8139 B=8597 C=6583 X=924069468 Y=7803246627 Z=83622965941 M=3576
A=9433 B=5486 C=7210 X=522783084 Y=9369438875 Z=30785027411 M=3729
A=3548 B=7893 C=8061 X=467090878 Y=8541155269 Z=63488236046 M=4318
A=8895 B=9458 C=9703 X=245790483 Y=3755047630 Z=33964772079 M=9248
A=2137 B=3967 C=5317 X=229951402 Y=1732761126 Z=93768688435 M=2229
A=7395 B=5887 C=7158 X=974810439 Y=7538148390 Z=76032722880 M=3398
A=5463 B=5033 C=7800 X=617055404 Y=2148314422 Z=82425902390 M=5981
A=8009 B=3551 C=5528 X=482373269 Y=8391577120 Z=79327866254 M=3434
A=4599 B=5186 C=9551 X=362763271 Y=4782305547 Z=65205432348 M=5815
A=4312 B=7394 C=8333 X=427463527 Y=8230619164 Z=93407093043 M=7556
A=8272 B=9073 C=6561 X=575913981 Y=3050428306 Z=75388069814 M=3998
A=2975 B=8215 C=9547 X=738012819 Y=9595081772 Z=61934337845 M=7810
A=6836 B=9833 C=7442 X=356921227 Y=5701811651 Z=99568147964 M=1875
A=9728 B=4786 C=9431 X=447303587 Y=5345129332 Z=94711311649 M=2093
A=7389 B=3889 C=9840 X=880589701 Y=1950925496 Z=44291599746 M=8319
A=6366 B=4686 C=9711 X=478366770 Y=7468583267 Z=39699944100 M=4939
A=7800 B=4882 C=8603 X=821766783 Y=9738057408 Z=89089360023 M=1151
A=3890 B=5366 C=6423 X=168233678 Y=5159688298 Z=12053100221 M=4599
A=3185 B=5697 C=6659 X=887722689 Y=2477719372 Z=34370608775 M=9303
A=8048 B=4440 C=6972 X=970297896 Y=4242164016 Z=81475575208 M=9283
A=2725 B=8959 C=6877 X=920201976 Y=8320103709 Z=96727924903 M=7416
A=2448 B=8913 C=7562 X=868865332 Y=6625787960 Z=72456038522 M=9728
A=6411 B=3081 C=9079 X=145224299 Y=7074765354 Z=11757622169 M=1820
A=5764 B=4462 C=7753 X=978387257 Y=6400149457 Z=16256420019 M=4390
A=5247 B=3185 C=7615 X=419533516 Y=2632868183 Z=86815771034 M=3005
A=9675 B=9958 C=5339 X=454670460 Y=5585556972 Z=25570360986 M=2891
A=2290 B=3813 C=7503 X=676886936 Y=9866552148 Z=55728174319 M=1606
A=7551 B=8621 C=8862 X=349182847 Y=8603819601 Z=94888897262 M=1582
A=5203 B=3687 C=7224 X=238540174 Y=1600459686 Z=32589779153 M=4043
A=7250 B=3018 C=5957 X=960107437 Y=7046422133 Z=16344885030 M=1795
A=2376 B=8550 C=9135 X=335104398 Y=8555130638 Z=94321271567 M=6949
A=9761 B=3907 C=5735 X=779251672 Y=8704671752 Z=96731518953 M=1793
A=4574 B=5257 C=9224 X=533656753 Y=2655549344 Z=48912924083 M=3775
A=6295 B=4357 C=9215 X=559768819 Y=9130901013 Z=91404070625 M=4408
A=5520 B=7771 C=8973 X=119077276 Y=2274053227 Z=26191019348 M=9386
A=9404 B=3678 C=9412 X=520220265 Y=7642632209 Z=62899192221 M=6586
A=6094 B=4580 C=6362 X=260390152 Y=4376759597 Z=40371810153 M=9116
A=5978 B=9977 C=9191 X=684135493 Y=5076973267 Z=97885800964 M=7171
A=5169 B=3474 C=6426 X=685299385 Y=8291278385 Z=72092815829 M=5847
A=4894 B=6580 C=8043 X=853156586 Y=9653945312 Z=50208943103 M=7749
A=9933 B=8153 C=8299 X=650893773 Y=9638160146 Z=64908488273 M=8937
A=4354 B=5571 C=7237 X=332751841 Y=6317766028 Z=50310902441 M=4663
A=7490 B=4546 C=6131 X=361177784 Y=2569974990 Z=81401647982 M=5241
A=6588 B=4780 C=5479 X=884219500 Y=3895122724 Z=73982368058 M=7565
A=5570 B=9997 C=8812 X=528639193 Y=1436603499 Z=44431792856 M=5129
A=6721 B=7883 C=8164 X=436701501 Y=3460062477 Z=66285952799 M=8940
A=4016 B=6019 C=5479 X=720627469 Y=6738702525 Z=47310482236 M=5215
A=9922 B=5647 C=6399 X=555819074 Y=8990117419 Z=10581963223 M=4021
A=5757 B=7080 C=9527 X=446984542 Y=2228384426 Z=78265057883 M=2550
A=7592 B=7470 C=5959 X=354330977 Y=7420274016 Z=21996857582 M=7661
A=8829 B=7562 C=9820 X=847013378 Y=5896599821 Z=37897017595 M=3036
A=9340 B=3313 C=7986 X=109134555 Y=6321945998 Z=89127060864 M=5795
A=6119 B=4331 C=5425 X=153814025 Y=9984811187 Z=35396341239 M=2415
A=7725 B=6976 C=9253 X=321406297 Y=3385924542 Z=60689766198 M=6278
A=4514 B=8334 C=5767 X=601560884 Y=8699664923 Z=28970663979 M=5075
A=9118 B=5292 C=8176 X=933492506 Y=8298115271 Z=89912958971 M=6705
A=4106 B=3137 C=7053 X=172320265 Y=5327614013 Z=49999892359 M=6142
A=2556 B=8395 C=8747 X=254925465 Y=6878143448 Z=27897762040 M=9621
A=9242 B=4560 C=7071 X=293826612 Y=3841775864 Z=81402407613 M=9079
A=2118 B=4700 C=8855 X=547936337 Y=4395973161 Z=46962315658 M=5257
A=7295 B=6011 C=6049 X=644672546 Y=9304310781 Z=30222118570 M=1721
A=6359 B=9960 C=9453 X=899295622 Y=2264926999 Z=44463160084 M=9118
A=7502 B=8411 C=5142 X=139100644 Y=3335898062 Z=66179546544 M=5186
A=4395 B=6997 C=7525 X=203687216 Y=2688811891 Z=18618496287 M=1794
A=4754 B=8009 C=9637 X=659911855 Y=1931972587 Z=82392127876 M=1885
A=8662 B=3181 C=7347 X=769571443 Y=7146840729 Z=19494860109 M=7810
A=6537 B=6109 C=9539 X=651571054 Y=3691131664 Z=41943109355 M=2529
A=4887 B=5855 C=7775 X=587168884 Y=4306965939 Z=91078413262 M=8827
A=7128 B=9341 C=5493 X=750242505 Y=5231690305 Z=71336714526 M=2769
A=6958 B=3047 C=6493 X=359847950 Y=7536604699 Z=32910011681 M=3041
A=2118 B=5435 C=7047 X=391972347 Y=4949304145 Z=16715386202 M=7525
A=9002 B=3198 C=7034 X=605703267 Y=7399903073 Z=50111558748 M=9475
A=9001 B=6086 C=9997 X=582877834 Y=7697170949 Z=64196665054 M=4223
A=3238 B=5251 C=6843 X=463531900 Y=2563398857 Z=39634153201 M=7596
A=9500 B=4985 C=6442 X=728967227 Y=8162854674 Z=52981933731 M=8330
A=3346 B=9277 C=5396 X=119428685 Y=5845318935 Z=89073421255 M=8161
A=6653 B=6297 C=6991 X=783910908 Y=7203162515 Z=34620023911 M=6486
A=8107 B=5787 C=7529 X=209230791 Y=9587141496 Z=16748086781 M=4371
A=8021 B=8005 C=5926 X=995246371 Y=6311820299 Z=71215109791 M=6467
A=2352 B=9448 C=9459 X=152957534 Y=7839986301 Z=92652836999 M=8916
A=2446 B=3364 C=8848 X=188323929 Y=4323577763 Z=65483867464 M=9100
A=8455 B=5904 C=7360 X=716003013 Y=4808203321 Z=83274258698 M=7906
A=4721 B=6487 C=7650 X=565823295 Y=3803549029 Z=26578313483 M=4126
A=4889 B=5773 C=7257 X=358312511 Y=4643435093 Z=24398531148 M=4588
A=5269 B=3385 C=8767 X=561346583 Y=7881804242 Z=84888698762 M=4984
A=7858 B=5015 C=8188 X=197645284 Y=2942621808 Z=13252441787 M=9212
A=4048 B=6187 C=8074 X=911602307 Y=6167032696 Z=38307584812 M=2681
A=7605 B=4369 C=6174 X=407541055 Y=1104527211 Z=89147592445 M=8590
A=5047 B=7572 C=8923 X=689233761 Y=5177433556 Z=92016264393 M=7518
A=8225 B=5206 C=8336 X=293478840 Y=3974747164 Z=27848457846 M=8812
A=5357 B=7055 C=5609 X=512277698 Y=3048606461 Z=13892391183 M=7893
A=6038 B=7445 C=9224 X=629408469 Y=1767075018 Z=88072315243 M=2399
A=4985 B=9673 C=5082 X=639845323 Y=1608778784 Z=86844416909 M=6902
A=6482 B=7378 C=5361 X=570743880 Y=1628762340 Z=97119748073 M=2893
A=6924 B=5326 C=6872 X=603937203 Y=1435001660 Z=78428104225 M=1559
A=3817 B=7797 C=9649 X=628339739 Y=7088335549 Z=92939254840 M=7470
A=9586 B=8150 C=7133 X=444279591 Y=5589148297 Z=51344024408 M=9148
A=7223 B=4611 C=8920 X=910035220 Y=9480513906 Z=37217862590 M=5358
A=6463 B=4740 C=6315 X=356116661 Y=9049850226 Z=12665707161 M=4468
A=8526 B=9738 C=6109 X=334834535 Y=1169805142 Z=18186963929 M=5116
A=8141 B=6635 C=8884 X=746681868 Y=3906101613 Z=37164760579 M=9376
A=7655 B=8738 C=6364 X=728413169 Y=2524973610 Z=26671325970 M=4238
A=8026 B=6536 C=6151 X=305581409 Y=6545228487 Z=71655833055 M=4133
A=5076 B=7713 C=5234 X=229391543 Y=8239168467 Z=99532618401 M=2822
A=7159 B=6721 C=5345 X=875456581 Y=5744847193 Z=74992177170 M=6220
A=8951 B=3322 C=6025 X=926902696 Y=2966424948 Z=59148643298 M=5925
A=6381 B=7837 C=8001 X=554036674 Y=4590792432 Z=78130583272 M=2206
A=2372 B=5625 C=6788 X=706040021 Y=9262614527 Z=82884704097 M=2203
A=5412 B=6483 C=9045 X=352981051 Y=7643737909 Z=87900132112 M=4951
A=3690 B=3487 C=9856 X=309297966 Y=4660072075 Z=76081809770 M=3028
A=3580 B=4512 C=6168 X=244498514 Y=1578459922 Z=88294467425 M=1577
A=2894 B=3775 C=7445 X=994588531 Y=6765406351 Z=39893389768 M=6893
A=2016 B=4507 C=8739 X=173018612 Y=8277029492 Z=58295702197 M=3814
A=5281 B=6256 C=7536 X=556991015 Y=7904724264 Z=63108899666 M=3166
A=6014 B=3052 C=7589 X=950084286 Y=1066762717 Z=76334686194 M=7304
A=7821 B=8028 C=8639 X=276964747 Y=8683916862 Z=60538251737 M=8324
A=4409 B=6278 C=8965 X=644622146 Y=9096514408 Z=32744494398 M=6535
A=7357 B=3170 C=8147 X=492622836 Y=4832235976 Z=27065491671 M=7290
A=5797 B=5701 C=9307 X=640120286 Y=6733533829 Z=68174498837 M=7137
A=3850 B=9783 C=6970 X=733077229 Y=7084629283 Z=78730434856 M=1394
A=3905 B=8480 C=5446 X=631725445 Y=6841083445 Z=41232646238 M=6416
A=2817 B=4874 C=7710 X=517466401 Y=7551358969 Z=95445528463 M=2141
A=4750 B=6206 C=5936 X=411618214 Y=1273857180 Z=79584294400 M=6538
A=3524 B=5299 C=8089 X=211463474 Y=3982831089 Z=24744203083 M=5605
A=4052 B=9767 C=8897 X=926376846 Y=9087733710 Z=68449359408 M=9556
A=6390 B=6184 C=8367 X=857493329 Y=7202902744 Z=75698107034 M=2482
A=8672 B=6022 C=7715 X=705596082 Y=9962663801 Z=21535102560 M=7431
A=4012 B=3289 C=9137 X=486452741 Y=1497715678 Z=56547269995 M=1824
A=5368 B=4998 C=6635 X=494890909 Y=8894925569 Z=85958343578 M=7143
A=5004 B=3808 C=9381 X=359274052 Y=9889945595 Z=17116930623 M=6648
A=2444 B=3330 C=6835 X=137527987 Y=9157948434 Z=28492581324 M=2189
A=2338 B=9204 C=5027 X=184257297 Y=6640148404 Z=66002449240 M=8872
A=9547 B=3264 C=7516 X=525019664 Y=1412086942 Z=10316599064 M=7492
A=7853 B=6834 C=5325 X=950483795 Y=9215522167 Z=90754278907 M=7186
A=5607 B=5473 C=5423 X=468366762 Y=9885763638 Z=51788288753 M=2841
A=7922 B=7374 C=6599 X=335965599 Y=4144197129 Z=50305460475 M=4416
A=5459 B=8970 C=8297 X=735999768 Y=2458683004 Z=94154707760 M=6647
A=2341 B=5975 C=5212 X=251242406 Y=4004527987 Z=57548809273 M=1318
A=9867 B=3619 C=6805 X=284616144 Y=4448007708 Z=10131438067 M=3278
A=6563 B=4928 C=7301 X=962815716 Y=9573371452 Z=63811627581 M=8304
A=9847 B=4206 C=8921 X=275195045 Y=2492795806 Z=45215432112 M=9596
A=6790 B=5877 C=6488 X=578613180 Y=6372645932 Z=96399112850 M=3646
A=4609 B=6856 C=9127 X=396949155 Y=3938901271 Z=13800085446 M=4424
A=6351 B=5966 C=9495 X=215967739 Y=4725639457 Z=48905056372 M=5783
A=9490 B=6607 C=5973 X=886995030 Y=2184130389 Z=69265157355 M=5383
A=2390 B=6621 C=6206 X=752597395 Y=5627933525 Z=92226155655 M=1007
A=5306 B=9347 C=7522 X=776574468 Y=4946783952 Z=92664933409 M=1203
A=9317 B=5184 C=9571 X=517295166 Y=3167998238 Z=87627598482 M=6350
A=2532 B=5699 C=5774 X=889939939 Y=3583216226 Z=33924455728 M=8190
A=6863 B=5596 C=9915 X=188514046 Y=6839245505 Z=57337084935 M=7331
A=9421 B=7892 C=7182 X=517882820 Y=7865967968 Z=59391681704 M=2813
A=7148 B=4724 C=7118 X=393588748 Y=8742412733 Z=32450797910 M=7707
A=3187 B=6348 C=8984 X=748552366 Y=7274266182 Z=77773757482 M=8225
A=2716 B=5989 C=9302 X=239674148 Y=8411099602 Z=97126766204 M=3311
A=7440 B=6060 C=9436 X=157819950 Y=5702476280 Z=96501180744 M=2669
A=4733 B=9659 C=8325 X=363801582 Y=4126497544 Z=57188501741 M=3286
A=9984 B=3780 C=6450 X=783751089 Y=6315954904 Z=33027217518 M=3046
A=9098 B=9950 C=9495 X=382835839 Y=3124719091 Z=83482517036 M=4346
A=8428 B=3589 C=5975 X=550451420 Y=1948018451 Z=87299813428 M=1988
A=5057 B=8460 C=7880 X=538120058 Y=7077015901 Z=39931519831 M=1912
A=6557 B=5430 C=5840 X=457782969 Y=9113949409 Z=33803613152 M=8482
A=6834 B=9470 C=5447 X=172821903 Y=9202571418 Z=43350955763 M=8937
A=8132 B=4407 C=5272 X=612327481 Y=1571401319 Z=52259989518 M=5481
A=8303 B=8164 C=9311 X=650306974 Y=8028283446 Z=37317515292 M=3264
A=8310 B=9507 C=9888 X=708717941 Y=3578181983 Z=12526836320 M=4206
A=8950 B=3642 C=9256 X=534254703 Y=9485300538 Z=12671151097 M=2935
A=5417 B=6329 C=5645 X=695755047 Y=9791393600 Z=19219506261 M=7416
A=3888 B=6782 C=9199 X=302577172 Y=1795562433 Z=21525280001 M=4477
A=7016 B=4257 C=7905 X=304114738 Y=3676655457 Z=98515408875 M=9951
A=9692 B=7512 C=9309 X=330720374 Y=9686106897 Z=39611135036 M=4496
A=9823 B=3361 C=7714 X=455326551 Y=6251474947 Z=81888912234 M=9391
A=6896 B=6119 C=5899 X=714541079 Y=6927153527 Z=74627240019 M=1664
A=5149 B=5040 C=5396 X=119981553 Y=3998179942 Z=97598352255 M=7899
A=3457 B=4717 C=5661 X=748718126 Y=4662687330 Z=85035535437 M=4747
A=9082 B=6986 C=9101 X=214635732 Y=6679870459 Z=82932339956 M=2267
A=4895 B=9534 C=6335 X=611226928 Y=1929901058 Z=32301744082 M=6759
A=6205 B=4707 C=6675 X=617705483 Y=8316115077 Z=23980402884 M=3138
A=6235 B=9008 C=5836 X=623069505 Y=2023577759 Z=72868872818 M=9342
A=4765 B=4001 C=6595 X=719623995 Y=6892488337 Z=36341954314 M=3437
A=7616 B=9462 C=5298 X=682372260 Y=9744637402 Z=19505534351 M=7486
A=9575 B=4595 C=6198 X=150484032 Y=4711477083 Z=30456061633 M=1482
A=4305 B=4314 C=8144 X=339327122 Y=9648422083 Z=97062308516 M=4870
A=3062 B=8612 C=7677 X=574689304 Y=7979162635 Z=37174964401 M=9425
A=2914 B=3049 C=7405 X=709290317 Y=4665429331 Z=71840589378 M=6753
A=2340 B=4095 C=7030 X=218518848 Y=5164035481 Z=83344644319 M=9807
A=3202 B=8084 C=5628 X=972166578 Y=5458954146 Z=48894534523 M=6035
A=3996 B=3955 C=5309 X=198246908 Y=4907810239 Z=17828910437 M=3869
A=5714 B=3775 C=9950 X=373273405 Y=8926559160 Z=43587027801 M=4573
A=7501 B=4390 C=5224 X=939908842 Y=2882111231 Z=85645341152 M=6225
A=5667 B=7721 C=8095 X=361643012 Y=4310544475 Z=74182944382 M=9726
A=3819 B=8951 C=6039 X=483229980 Y=5478501307 Z=33362620164 M=2413
A=9931 B=8879 C=9064 X=892968139 Y=8504184429 Z=94375584668 M=3909
A=4998 B=7995 C=9935 X=350992181 Y=1214802737 Z=31594225414 M=2666
A=8989 B=6279 C=7639 X=982091786 Y=4020537021 Z=34136287723 M=7902
A=8815 B=8918 C=9085 X=556491228 Y=4290110376 Z=53292451799 M=5635
A=4796 B=4049 C=7463 X=347817800 Y=2391570342 Z=47167532323 M=3767
A=9131 B=9215 C=7622 X=890950486 Y=7593805174 Z=73649749497 M=1976
A=3947 B=7348 C=5816 X=445478084 Y=9417180986 Z=65164419069 M=2637
A=7584 B=6133 C=7725 X=502216962 Y=6888581917 Z=71973386709 M=8998
A=8336 B=9633 C=9971 X=592877561 Y=9628078877 Z=62267086343 M=3220
A=9881 B=9628 C=8652 X=448277238 Y=5725642794 Z=66874875130 M=5097
A=3006 B=5109 C=9955 X=390817956 Y=5431946585 Z=39646073387 M=1235
A=2134 B=6018 C=9104 X=480505288 Y=8761030739 Z=33032601699 M=3060
A=3109 B=5924 C=6302 X=396829666 Y=5785605072 Z=11741124530 M=6697
A=5244 B=7213 C=6802 X=845766085 Y=2919677780 Z=15164601423 M=2206
A=8705 B=6073 C=7257 X=481872192 Y=2122931546 Z=30075596157 M=5751
A=3543 B=9783 C=9277 X=840477000 Y=6158144018 Z=66850227517 M=6827
A=7848 B=4876 C=5092 X=852448705 Y=4619786541 Z=27184256689 M=9091
A=6091 B=5024 C=8972 X=412699013 Y=7775638144 Z=61612865126 M=7311
A=4229 B=7701 C=9293 X=485158340 Y=9086641860 Z=24922963602 M=8847
A=7085 B=5558 C=9371 X=214042883 Y=8353908643 Z=41246648690 M=5299
A=4451 B=3744 C=7725 X=225490725 Y=6630065393 Z=25875830404 M=6858
A=4445 B=3315 C=6908 X=227776640 Y=7810387410 Z=89339431393 M=9191
A=4948 B=3575 C=5901 X=776810573 Y=5596749077 Z=15869354398 M=6173
A=3881 B=8316 C=9607 X=736627624 Y=4753587460 Z=16639184075 M=1988
A=2039 B=8752 C=5517 X=782902796 Y=5738226582 Z=25506890945 M=5062
A=9637 B=6027 C=9087 X=193703758 Y=3871737058 Z=21457611668 M=9782
A=2106 B=8510 C=9476 X=740483391 Y=2976356785 Z=10893345127 M=4131
A=8140 B=8729 C=9375 X=645197185 Y=4281488091 Z=11930331481 M=1197
A=9957 B=3832 C=8605 X=182887208 Y=1382935218 Z=12360738078 M=9198
A=5526 B=8108 C=9770 X=399193640 Y=6570349440 Z=36750033481 M=8662
A=8598 B=8168 C=9806 X=979373473 Y=4163894760 Z=80578483203 M=4681
A=4396 B=5693 C=5330 X=545928105 Y=5586619718 Z=29374429279 M=8986
A=9927 B=8190 C=5517 X=316069024 Y=6865547310 Z=33671043111 M=2502
A=9678 B=9042 C=5973 X=545516209 Y=3625420688 Z=88799660145 M=5501
A=6927 B=3314 C=8250 X=424388597 Y=9352099951 Z=25932978426 M=9331
A=5915 B=4802 C=8814 X=609604449 Y=9342341508 Z=69749815494 M=8573
A=9274 B=4215 C=5177 X=720993590 Y=5962459787 Z=54541904851 M=6477
A=8193 B=3328 C=7535 X=340233890 Y=6056334858 Z=24472658278 M=8212
A=4469 B=6377 C=6860 X=452917296 Y=2913023804 Z=57404856719 M=8894
A=6950 B=8930 C=7923 X=825984041 Y=1028465748 Z=49430399008 M=1521
A=4441 B=4518 C=9122 X=498882419 Y=8206989681 Z=10192408926 M=7948
A=4920 B=6405 C=9914 X=448814067 Y=6531487055 Z=52460436718 M=1246
A=4081 B=7802 C=7167 X=166437574 Y=1261270137 Z=27161562026 M=9583
A=3666 B=8373 C=8468 X=448935899 Y=8690422559 Z=47881930669 M=9855
A=4950 B=8473 C=7817 X=119658520 Y=4318901477 Z=48300010845 M=9799
A=2694 B=9243 C=6260 X=927579998 Y=9844952155 Z=75229275303 M=8959
A=3622 B=3437 C=7394 X=916714432 Y=4566280497 Z=99664442073 M=1156
A=7080 B=9388 C=9582 X=831537514 Y=3742979579 Z=85891961944 M=2995
A=5289 B=6467 C=6070 X=998804857 Y=6665667908 Z=34403404522 M=3929
A=2051 B=3971 C=7152 X=233308264 Y=9480319552 Z=14227677395 M=4291
A=6009 B=7381 C=8091 X=929453878 Y=5770518644 Z=27814776466 M=2507
A=9735 B=4500 C=9420 X=649959696 Y=3385334249 Z=37365882873 M=8665
A=9835 B=5165 C=5488 X=779245419 Y=3028789127 Z=43179916891 M=9831
A=5488 B=7306 C=9369 X=342260495 Y=4490041712 Z=83642446771 M=1902
